,Cluster 0,Cluster 1,,,,,,,
ID#,2386.144872,1697.40167,,,,,,,
Balance,38935.96907,103234.0993,73601.32758,,132774.8746,45099.80437,,0.863329001,0.777512308
Qual_miles,9.7542051,258.9689239,144.114529,,258.1953846,89.16635791,,0.109393333,1.002995946
cc1_miles,1.182854042,2.80890538,2.059515,,3.611538462,1.311967395,,0.901587987,0.777758678
cc2_miles,1.031470429,1,1.014504,,1.01,1.016672842,,1.014554915,0.99009901
cc3_miles,1,1.022727273,1.012253,,1.036923077,1.000370508,,0.99962963,0.986309684
Bonus_miles,4025.555073,28359.52783,17144.84621,,41461.61,5432.436828,,0.741021976,0.683994853
Bonus_trans,6.501899078,15.96150278,11.6019,,20.38615385,7.370878103,,0.882106445,0.782958026
Flight_miles_12mo,124.6684753,746.7527829,460.055764,,968.7215385,215.0518711,,0.579713511,0.77086423
Flight_trans_12,0.426478568,2.183209647,1.373593,,2.906923077,0.635050019,,0.671566893,0.751037984
Days_since_enroll,3442.381443,4696.572356,4118.55939,,4941.44,3722.210819,,0.924821728,0.950446096
Award?,0.009224091,0.67903525,0.370343,,0.71,0.206743238,,0.044616169,0.956387677
ClusterID,0,1,0.539135,,,,,0.044616169,0.683994853
,,,,,,,,1.014554915,1.002995946
