,Cluster 1,Cluster 0
ID#,1370.0976863753212,2084.292243767313
Balance,298003.853470437,49420.5567867036
Qual_miles,387.8457583547558,117.85096952908587
cc1_miles,2.879177377892031,1.9711911357340721
cc2_miles,1.012853470437018,1.0146814404432134
cc3_miles,1.0077120822622108,1.012742382271468
Bonus_miles,36877.629820051414,15018.515789473684
Bonus_trans,18.25706940874036,10.884764542936288
Flight_miles_12mo,1222.9588688946014,377.84819944598337
Flight_trans_12,3.704370179948586,1.122437673130194
Days_since_enroll,5345.429305912597,3986.3565096952907
Award?,0.5655526992287918,0.3493074792243767
ClusterID,1.0,0.0
