,XLMiner : k-Means Clustering - Predicted Clusters,,,,,,,,,,,,Date: 03-Jul-2016 17:42:04,,
,,,,,,,,,,,,,,,
,Output Navigator,,,,,,,,,,,,Elapsed Times in Milliseconds,,
,Predicted Clusters,,Inputs,,Random Starts Summ.,,Cluster Centers,,Data Summ.,,,,Clustering Time,Report Time,Total
,,,,,,,,,,,,,43,25,68
,,,,,,,,,,,,,,,
,Record ID,Cluster ID,Dist. Clust-1,Dist. Clust-2,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,1,2,332698.9351,30380.36926,28143,0,1,1,1,174,1,0,0,7000,0
0,2,2,341515.3696,38296.67966,19244,0,1,1,1,215,2,0,0,6968,0
0,3,2,319087.8441,17384.13836,41354,0,1,1,1,4123,4,0,0,7034,0
0,4,2,345909.8466,42325.31559,14776,0,1,1,1,500,1,0,0,6952,0
0,5,2,260137.245,51786.7801,97752,0,4,1,1,43300,26,2077,4,6935,1
0,6,2,344343.3278,40976.82515,16420,0,1,1,1,0,0,0,0,6942,0
0,7,2,273499.3792,33068.13597,84914,0,3,1,1,27482,25,0,0,6994,0
0,8,2,339298.091,35061.71352,20856,0,1,1,1,5250,4,250,1,6938,1
1,9,1,95257.72567,388944.8025,443003,0,3,2,1,1753,43,3850,12,6948,1
0,10,2,253530.3197,52304.0064,104860,0,3,1,1,28426,28,1150,3,6931,1
0,11,2,319958.9171,16600.17716,40091,0,2,1,1,7278,10,0,0,6959,0
0,12,2,261899.3045,62354.63163,96522,0,5,1,1,61105,19,0,0,6924,1
0,13,2,316259.6512,12059.84109,43382,0,2,1,1,11150,20,0,0,6924,0
0,14,2,317469.3587,16716.35764,43097,0,1,1,1,3258,6,0,0,6918,0
0,15,2,343125.5207,39841.56819,17648,0,1,1,1,0,0,0,0,6912,0
0,16,2,329430.7008,42912.38582,28495,0,4,1,1,49442,15,0,0,6912,1
0,17,2,306031.5497,33881.2047,51890,0,4,1,1,48963,16,0,0,6910,1
0,18,2,346261.3337,41937.0381,13958,0,1,1,1,4291,5,0,0,6905,1
0,19,2,266957.6687,39185.6919,91473,0,3,1,1,27408,17,0,0,6903,1
0,20,2,336252.9965,31478.059,23354,0,3,1,1,10447,5,0,0,6896,1
0,21,2,237749.7355,79331.3305,120576,0,5,1,1,58831,23,250,2,6896,1
0,22,2,175002.8765,131428.3028,185681,2024,1,1,1,13300,16,1800,9,6896,1
0,23,2,339785.6138,35999.31205,20584,0,1,1,1,3450,11,3450,11,6884,0
0,24,2,294604.127,17722.07486,66275,0,1,1,1,2533,11,150,1,6884,0
0,25,2,157516.2883,151800.8789,205651,500,1,1,1,4025,21,700,4,7932,0
0,26,2,339902.4015,36575.58026,20726,0,1,1,1,1375,4,0,0,7924,0
0,27,2,342105.8695,38670.259,18521,0,1,1,1,1227,2,1227,2,7917,0
0,28,2,351878.3326,48154.34299,8828,0,1,1,1,0,0,0,0,7914,0
0,29,2,298320.4668,19652.35261,59763,0,3,1,1,33772,20,100,1,7907,1
0,30,2,340995.6107,36881.23907,19221,0,1,1,1,4655,8,500,1,7896,1
0,31,2,181518.5597,123789.0964,177926,0,3,1,1,20797,13,0,0,7886,0
0,32,2,350694.7076,47026.0349,10021,0,1,1,1,0,0,0,0,7879,0
1,33,1,81389.18945,223888.016,276571,0,4,1,1,42044,23,0,0,7872,0
0,34,2,342722.0585,39517.55968,18047,0,1,1,1,100,1,0,0,7868,0
0,35,2,317185.8336,18944.99611,43832,0,1,1,1,0,0,0,0,7865,0
0,36,2,234218.5626,78008.63779,123759,0,4,1,1,50572,23,2500,5,7865,1
0,37,2,337546.6178,34614.81724,23193,0,1,1,1,650,4,550,3,7861,1
0,38,2,292563.8193,21069.6383,68666,0,1,1,1,350,2,350,2,7861,0
0,39,2,298362.1563,14329.57881,59990,0,3,1,1,27878,17,0,0,7854,1
0,40,2,358477.4895,54477.54562,2176,0,1,1,1,0,0,0,0,7847,1
0,41,2,326078.0005,24216.28471,34616,0,1,1,1,1750,4,500,1,7850,0
0,42,2,347479.3289,49572.08636,10470,0,4,1,1,38094,26,0,0,7840,1
0,43,2,299567.2245,9304.473862,60313,0,1,1,1,10000,26,3250,9,7829,1
1,44,1,263172.2232,565085.6408,619393,0,3,1,1,15008,14,0,0,7819,1
0,45,2,238051.5609,67124.22436,121260,0,3,1,1,18493,18,0,0,7808,0
1,46,1,72105.06267,234715.997,288865,967,1,1,1,23600,14,2000,4,6884,1
0,47,2,267619.604,38343.503,92336,0,2,1,1,11214,6,0,0,6884,0
0,48,2,323264.5416,19977.57902,36924,0,1,1,1,5900,6,300,2,6879,1
0,49,2,287738.8257,25290.06146,70312,0,3,1,1,34678,24,500,1,6875,1
0,50,2,343568.2279,39972.21823,17051,0,1,1,1,1150,4,1150,4,6868,0
0,51,2,252680.4037,54949.88973,108137,0,1,1,1,6368,5,6368,5,6844,0
0,52,2,359296.2831,55156.25754,1300,0,1,1,1,370,1,0,0,6868,0
0,53,2,239358.1813,70630.74037,118531,0,4,1,1,44577,38,0,0,6868,1
0,54,2,239758.2367,67925.88719,121395,0,1,1,1,4970,8,650,2,6889,1
0,55,2,322610.9072,22300.51095,38348,0,1,1,1,0,0,0,0,6861,0
0,56,2,346093.9336,42248.11545,14448,0,1,1,1,1625,6,0,0,6856,0
0,57,2,282096.9363,28977.5394,75971,0,4,1,1,34339,14,0,0,6869,0
0,58,2,324230.1073,21947.17159,36298,0,1,1,1,3100,5,600,3,6865,1
0,59,2,319978.8365,24954.24777,38077,0,3,1,1,34024,8,0,0,6837,0
0,60,2,263624.6282,41690.19361,95118,0,3,1,1,23188,23,2200,7,6865,1
0,61,2,225284.2044,80188.60841,134457,0,3,1,1,15588,14,0,0,6861,0
0,62,2,339030.7872,34599.05108,19918,0,1,1,1,17601,11,0,0,6863,0
0,63,2,350591.2522,46860.27196,10120,0,1,1,1,0,0,0,0,6864,0
1,64,1,17112.96735,308599.6665,362642,0,1,1,1,28079,8,0,0,6835,0
0,65,2,281027.7462,29796.09073,80250,0,1,1,1,895,2,0,0,6833,0
0,66,2,304186.8092,19383.87181,53914,0,3,1,1,33767,45,5550,29,6826,1
0,67,2,351113.183,47027.78226,9375,0,1,1,1,1750,7,0,0,6826,0
0,68,2,274802.5926,35269.58705,83237,0,4,1,1,35287,18,0,0,6837,0
1,69,1,128800.3818,176634.3912,230715,0,3,1,1,24047,12,0,0,6826,1
0,70,2,312059.1571,8274.246943,47457,0,3,1,1,12621,16,0,0,7766,1
0,71,2,275052.6647,30723.54162,84409,5031,2,1,1,15436,16,1150,4,7766,0
1,72,1,105629.1471,199610.1144,252386,0,4,1,1,39787,13,0,0,7787,0
1,73,1,195129.8021,496069.0668,550367,0,3,1,1,12500,13,50,1,7801,0
0,74,2,348008.7618,44340.15708,12646,0,1,1,1,631,4,631,4,7787,0
