citing,cited,citing_sic,citing_gyear,citing_icl,cited_sic,cited_gyear,cited_icl
6677699,6808399,9997,2004,H01K,9997,2004,H01R
6714214,6831912,7372,2004,G09G,3812,2004,H04J
6714542,6678272,3674,2004,H04L,3674,2004,H04L
6714542,6678276,3674,2004,H04L,3674,2004,H04L
6715039,6678805,3572,2004,G06F,7372,2004,G06F
6719643,6672975,3949,2004,A63B,3949,2004,A63B
6725051,6677895,3570,2004,H04Q,3812,2004,G01S
6731608,6680917,7370,2004,H04L,3576,2004,H04L
6732270,6694429,3663,2004,G06F,4813,2004,H04L
6732270,6701439,3663,2004,G06F,7373,2004,G06F
6732979,6678597,6172,2004,B62D,3714,2004,B62D
6735595,6675169,3570,2004,G06F,7372,2004,G06F
6736599,6685434,9997,2004,F01D,9997,2004,F01D
6736749,6672987,3711,2004,F16H,3711,2004,F16H
6736749,6672988,3711,2004,F16H,3711,2004,F16H
6738006,6674377,3674,2004,H03M,6794,2004,H03M
6738631,6674993,3663,2004,H04Q,8731,2004,H04H
6738868,6678798,3570,2004,G06F,3571,2004,G06F
6738868,6681293,3570,2004,G06F,3571,2004,G06F
6740444,6677070,3570,2004,H01M,3570,2004,H01M
6743118,6676536,3949,2004,A63B,3949,2004,A63B
6744303,6683489,3571,2004,G05F,3674,2004,G05F
6745248,6681228,7389,2004,G06F,7372,2004,G06F
6745299,6704843,3570,2004,G06F,7370,2004,G06F
6745307,6694457,3570,2004,G06F,3570,2004,G06F
6745848,6679339,3523,2004,A01B,3523,2004,A01B
6746882,6673638,3674,2004,H01L,3827,2004,H01L
6748039,6681272,3674,2004,H04L,3674,2004,G06F
6748339,6687881,3571,2004,G06F,3571,2004,G06F
6748339,6691291,3571,2004,G06F,3571,2004,G06F
6748356,6684186,7370,2004,G10L,7370,2004,G10L
6748441,6678855,7372,2004,G06F,7372,2004,H03M
6750069,6673675,3674,2004,H01L,3674,2004,H01L
6751604,6686927,3570,2004,G06F,3571,2004,G09G
6751815,6684420,2590,2004,A47C,2590,2004,A47D
6752063,6679159,3790,2004,F41A,3790,2004,F41A
6752425,6679508,3711,2004,B62D,3714,2004,B62D
6752776,6689075,8093,2004,A61F,8093,2004,A61H
6752785,6689100,3845,2004,A61M,3841,2004,A61M
6753503,6674046,3540,2004,B23K,3540,2004,B23K
6753823,6683581,4813,2004,H01Q,4813,2004,H01Q
6753873,6684321,9997,2004,G06F,3674,2004,G06F
